idx,x,y,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path
25,0.7734375,0.01,615.9233838786912,366.17235772357725,1,0.0,0.12245400634537729,0.2489089288726266,1775093811.649055,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0025.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0025_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0025_mask.png
26,0.804375,0.01,615.739336492891,379.9356862745098,1,0.0,0.044683099234385945,0.31471485731461724,1775093820.5769691,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0026.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0026_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0026_mask.png
27,0.8353125,0.01,615.7076305220884,393.8903330625508,1,0.0,0.026956533234077547,0.07768690424093819,1775093829.3403428,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0027.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0027_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0027_mask.png
28,0.86625,0.01,615.4939564867043,407.60818253343825,1,0.0,0.13077644733460456,0.05534115822721375,1775093838.177901,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0028.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0028_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0028_mask.png
29,0.8971875,0.01,615.8795472918351,421.4526315789474,1,0.0,0.0437804045316944,0.0630714754269934,1775093846.8535552,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0029.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0029_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0029_mask.png
30,0.928125,0.01,615.9373015873016,434.8674603174603,1,0.0,0.015516289125469701,0.034664095387140124,1775093855.611538,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0030.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0030_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0030_mask.png
31,0.9590625,0.01,615.57003257329,448.53035143769966,1,0.0,0.10257795845983077,0.39758415244016104,1775093864.6242607,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0031.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0031_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0031_mask.png
32,0.99,0.01,615.6357267950963,461.1322241681261,1,0.0,0.04533363092095391,0.03807653101241036,1775093873.2626345,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0032.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0032_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0032_mask.png
33,0.99,0.0409375,601.0265486725664,460.8169014084507,1,0.0,0.43632415604543323,0.12955728351258844,1775093881.9673402,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0033.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0033_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0033_mask.png
34,0.9590625,0.0409375,600.6360734237829,448.4139571768438,1,0.0,0.0536488787759538,0.05120711439252604,1775093890.6644733,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0034.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0034_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0034_mask.png
