idx,x,y,z,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path
27,0.793125,0.0,0.0,584.938202247191,392.71235059760954,1,0.0,0.19425746058004045,0.0655474197869986,1776422327.6924496,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0027.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0027_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0027_mask.png
28,0.8225,0.0,0.0,584.1581125827814,405.3584437086093,1,0.0,0.24851060717496617,0.07760521670386081,1776422340.287754,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0028.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0028_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0028_mask.png
29,0.8518749999999999,0.0,0.0,585.3218849840256,420.03935185185185,1,0.0,0.0395887357600669,0.3324686356902711,1776422352.4732075,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0029.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0029_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0029_mask.png
30,0.88125,0.0,0.0,585.1836248012719,434.2790143084261,1,0.0,0.060137783106210874,0.028374785853017,1776422364.04267,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0030.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0030_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0030_mask.png
31,0.9106249999999999,0.0,0.0,585.3208556149733,447.8785332314744,1,0.0,0.07032331197942701,0.11267350026773332,1776422375.8229117,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0031.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0031_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0031_mask.png
32,0.94,0.0,0.0,585.1132075471698,460.7315608919383,1,0.0,0.4018130241956871,0.05633930967353325,1776422390.4654539,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0032.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0032_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0032_mask.png
33,0.94,0.03125,0.0,570.8033216783217,460.6921052631579,1,0.0,0.06736430066915733,0.03473253135715212,1776422403.058835,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0033.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0033_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0033_mask.png
34,0.9106249999999999,0.03125,0.0,570.1437355880092,447.98697318007663,1,0.0,0.36895504546099117,0.33131188309238735,1776422416.9089782,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0034.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0034_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0034_mask.png
35,0.88125,0.03125,0.0,570.8753056234718,434.7791361043195,1,0.0,0.07004245101226064,0.0311719219541218,1776422428.5592332,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0035.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0035_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0035_mask.png
36,0.8518749999999999,0.03125,0.0,571.4396336386345,421.53820598006644,1,0.0,0.0404744853924456,0.06034183932583152,1776422442.0781686,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0036.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0036_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0036_mask.png
37,0.8225,0.03125,0.0,571.1336032388664,407.7789389067524,1,0.0,0.04800741110970272,0.061168182680676995,1776422453.4971902,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0037.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0037_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0037_mask.png
38,0.793125,0.03125,0.0,571.0590191188695,393.9426433915212,1,0.0,0.05607114190804082,0.07818681959339321,1776422465.6589155,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0038.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0038_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0038_mask.png
39,0.7637499999999999,0.03125,0.0,571.4570247933884,381.0924229808493,1,0.0,0.05206222538298738,0.03076596799531015,1776422480.782181,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0039.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0039_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0039_mask.png
40,0.734375,0.03125,0.0,571.2842190016103,367.4567502021019,1,0.0,0.039629722134882056,0.04692893538351701,1776422492.1581545,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0040.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0040_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0040_mask.png
41,0.705,0.03125,0.0,571.2638544251447,353.9355904211396,1,0.0,0.03346801055005394,0.04335028886868325,1776422506.600217,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0041.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0041_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0041_mask.png
42,0.6756249999999999,0.03125,0.0,571.4068219633943,341.0624479600333,1,0.0,0.03461281932440488,0.06230638264161609,1776422518.671196,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0042.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0042_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0042_mask.png
43,0.64625,0.03125,0.0,571.4252873563219,327.5433526011561,1,0.0,0.035163044926738385,0.03374288998610258,1776422531.4758687,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0043.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0043_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0043_mask.png
