idx,x,y,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path,
42,0.6971875,0.03125,556.8875576,339.5474654,1,0,0.089971501,0.055371013,1775578330,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0042.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0042_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0042_mask.png,
43,0.666875,0.03125,556.6983719,325.8414739,1,0,0.11161334,0.064904877,1775578346,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0043.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0043_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0043_mask.png,
44,0.6365625,0.03125,556.4981917,312.9409132,1,0,0.035808836,0.083130509,1775578362,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0044.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0044_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0044_mask.png,
45,0.60625,0.03125,556.5063869,299.481448,1,0,0.053472236,0.163485619,1775578376,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0045.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0045_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0045_mask.png,
46,0.5759375,0.03125,556.554473,286.29938,1,0,0.045359667,0.075721481,1775578389,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0046.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0046_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0046_mask.png,
47,0.545625,0.03125,556.9418907,272.9419411,1,0,0.034845802,0.031306247,1775578404,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0047.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0047_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0047_mask.png,
48,0.5153125,0.03125,556.6550492,260.2037201,1,0,0.066824687,0.030801414,1775578448,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0048.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0048_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0048_mask.png,
49,0.485,0.03125,556.9736395,246.372449,1,0,0.039882133,0.017637981,1775578481,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0049.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0049_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0049_mask.png,
50,0.4546875,0.03125,556.7261905,233.552901,1,0,0.066043634,0.057800767,1775578506,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0050.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0050_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0050_mask.png,
51,0.424375,0.03125,556.4973684,220.6048738,1,0,0.058129387,0.065698018,1775578520,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0051.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0051_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0051_mask.png,
52,0.3940625,0.03125,556.2622505,207.8829401,1,0,0.
