idx,x,y,frame,prev_failed_reason,det_ok,center_u,center_v,mask_exists,mask_area_px,reason_guess,img_ts,error
973,0.515,0.908125,4,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042886.4134605,
973,0.515,0.908125,5,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042888.2092936,
973,0.515,0.908125,6,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042890.0101833,
973,0.515,0.908125,7,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042891.86178,
973,0.515,0.908125,8,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042893.7253957,
973,0.515,0.908125,9,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042895.5143301,
1006,0.515,0.93875,0,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042899.4196122,
1006,0.515,0.93875,1,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042901.2757769,
1006,0.515,0.93875,2,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042903.0836504,
1006,0.515,0.93875,3,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042905.0108418,
1006,0.515,0.93875,4,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042906.749294,
1006,0.515,0.93875,5,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042908.592556,
1006,0.515,0.93875,6,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042910.4996603,
1006,0.515,0.93875,7,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042912.2704015,
1006,0.515,0.93875,8,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042914.0894687,
1006,0.515,0.93875,9,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042915.9801438,
